Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count
000-093-610-327-285,Climbing with Parallel Robots,2007-09-01,2007,book chapter,Bioinspiration and Robotics Walking and Climbing Robots,,I-Tech Education and Publishing,,Roque Saltaren; Rafael Aracil; Oscar Reinoso; Eugenio Yime,"Inherently, parallel robots present many advantages to climb in comparison with robots that use serial legs. The availability of a great number of redundant degrees of freedom on the climbing robots with legs does not necessarily increase the ability of those types of machine to progress in a complex workspace. The serial legs mechanisms have a sequential configuration that imposes high torques on the actuators placed on the base. Therefore, the architecture of serial legs of some climbing robots implies a limit on load capability. In contrast with the limitations of the climbing robots with legs, the use of a Gough–Stewart platform as a climbing robot (Stewart, 1965), solves many of these limitations and opens a new field of applications for this type of mechanism. In order to emphasize the great performance of the G–S parallel robot as a climbing robot, it is pertinent to remember that this type of parallel robot is based on a simple mechanical concept that consists of two rings (platforms) linked with six linear actuators joined through universal and spherical joints (this type of structure is also referenced as a 6-UPS parallel robot). These characteristics allow obtaining a mechanical structure of light weight and with high stiffness, which is able to reach high velocities and develop big forces with a very important advantage: the low cost of manufacturing (Lazard, 1992)). The forward kinematic of the G–S platform has been previously analyzed for many authors (Husty, 1994) (Dasgupta, 1994). This paper has been developed in based to references (Almonacid, 2003) (Aracil, 2003) (Aracil, 2006) and (Saltaren 2005) and reflects the state of the art of the researchers made by the authors during the last years. The morphology proposed for the parallel G–S platform as climbing robot is shown in Fig. 1(a). The G–S platform is formed by two rings joined with 6 linear actuators as UPS kinematics chains (where the U degrees of freedom belong to a universal joint, P is a prismatic degree of freedom that belongs to the linear actuator and S is the spherical joint) (Saltaren, 2000). The robot assembly around the tubular structure is carried out through a system of hinges. The holding systems are based on a series of grip devices built in each ring. Those grip devices hold the reference ring firmly attached to the tubular structure while the free ring is displaced by the control system. In Fig. 1(b), we show the climbing robot to work on the outside wall of pipes. In this case the platform of Fig. 1(a) is modified by adding two legs on each one of the external rings of the robot. These legs allow fastening one ring to the pipe while the other ring moves along the structure. The external rings can rotate increasing the working space of the robot. O pe n A cc es s D at ab as e w w w .ite ch on lin e. co m",,,,,Topology; Parallel manipulator; Linear actuator; Mobile robot; Kinematics; Computer science; Universal joint; Robot control; Robot; Climbing,,,,,https://www.intechopen.com/books/statistics/bioinspiration_and_robotics_walking_and_climbing_robots/climbing_with_parallel_robots https://www.intechopen.com/books/bioinspiration_and_robotics_walking_and_climbing_robots/climbing_with_parallel_robots http://cdn.intechweb.org/pdfs/449.pdf https://cdn.intechopen.com/pdfs/449/InTech-Climbing_with_parallel_robots.pdf https://cdn.intechweb.org/pdfs/449.pdf https://www.researchgate.net/profile/Eugenio_Yime/publication/221786642_Climbing_with_Parallel_Robots/links/02bfe5137300d62b82000000.pdf,http://dx.doi.org/10.5772/5502,,10.5772/5502,2120710430,,0,023-799-434-226-619; 070-027-901-476-401; 092-859-242-442-223; 103-966-659-747-576; 104-323-542-801-900; 110-733-218-958-518; 154-468-920-017-787; 186-771-056-406-474,2
000-341-080-837-391,ICRA - Transmission-based electrical actuators: a concept for improving robot manipulator performance,,,conference proceedings,Proceedings of International Conference on Robotics and Automation,,IEEE,,William R. Hamel; T.C. Widner,"This paper explores a new approach for extending the operating range of electrical servoactuators in applications such as high payload robotics and remote handling systems where, at present, only hydraulic systems are used. The fundamental idea is to incorporate a multi-speed transmission to ""spread"" a servomotor's torque-speed characteristics across a wider output speed range. This has the effect of allowing smaller high power motors to also deliver high torque at low speeds. Incorporating a multi-speed transmission allows motor size to be reduced while increasing the overall actuator power density in the process. The hypothesis of this research was that this power density increase would be sufficient to allow a greater range of electrically-actuated robot manipulators to be designed with distributed actuators such that the cost and complexity of centralized actuators with power transmissions could be avoided. An existing articulated manipulator design is used as a baseline to evaluate potential benefits of this concept for robotics. Among these are increased performance, dramatic reductions in manipulator complexity and reduced manufacturing and implementation costs.",2,,1208,1215,Servomotor; Hydraulic machinery; Engineering; Control engineering; Parallel manipulator; Payload; Artificial intelligence; Actuator; Telerobotics; Power density; Robotics,,,,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=614302 https://dblp.uni-trier.de/db/conf/icra/icra1997.html#HamelW97 http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=614302,http://dx.doi.org/10.1109/robot.1997.614302,,10.1109/robot.1997.614302,2106945011,,0,003-682-282-925-773; 005-881-510-020-621; 015-359-740-583-252; 110-228-370-619-783; 124-591-656-263-836,5
000-394-114-445-820,Direct drive of ship's steering gears through permanent-magnet linear motors featuring high thrust and efficiency,,2012,conference proceedings,"2012 IEEE International Conference on Power Electronics, Drives and Energy Systems (PEDES)",,IEEE,,Claudio Bruzzese,"Affordability, redundancy, as well as space, weight, and energy savings are main issues on board ship. Classical oil-powered onboard actuators used for steering gears (rudders, roll-stabilizing fins) are usually cumbersome, weighty, low-efficiency and costly plants, also requiring an heavy maintenance burden. The Italian Navy recently committed a research project to the University of Rome-Sapienza, aimed to define innovative inverter-fed full-electric actuation systems in alternative to the hydraulics. The new actuators had to guarantee the required dynamic performances, i.e. very high torques/forces at very low speeds, besides high affordability, redundancy, and, mostly, high efficiency. This paper proposes a new high-thrust permanentmagnet linear actuator for direct-drive of steering gears, through an appositely designed rotary-prismatic coupling. Mechanical and electrical drive sizing are shown, and force, speed, and efficiency performances are analyzed and compared with those of the original hydraulic plant. The proposed actuator will be verified by tests on a reduced-scale laboratory prototype in the final steps of the research program.",,,1,8,Engineering; Torque; Linear actuator; Redundancy (engineering); Automotive engineering; Actuator; Rudder; Sizing; Linear motor; Thrust,,,,,https://www.researchgate.net/profile/Claudio_Bruzzese/publication/256277938_Direct_Drive_of_Ship's_Steering_Gears_Through_Permanent-Magnet_Linear_Motors_Featuring_High_Thrust_and_Efficiency/links/004635220f449956f1000000.pdf?origin=publication_list,http://dx.doi.org/10.1109/pedes.2012.6484420,,10.1109/pedes.2012.6484420,2548670594,,0,002-826-083-320-337; 010-456-915-940-892; 056-002-189-965-632; 060-910-332-768-163; 071-445-481-705-850; 075-766-659-358-925; 125-267-265-601-916,9
001-108-277-681-322,"ICRA - Design and validation of a torque dense, highly backdrivable powered knee-ankle orthosis",2017-07-24,2017,conference proceedings,IEEE International Conference on Robotics and Automation : ICRA : [proceedings]. IEEE International Conference on Robotics and Automation,21524092; 21548080,,United States,Hanqi Zhu; Jack Doan; Calvin Stence; Ge Lv; Toby Elery; Robert D. Gregg,"This paper presents the mechatronic design and experimental validation of a novel powered knee-ankle orthosis for testing torque-driven rehabilitation control strategies. The modular actuator of the orthosis is designed with a torque dense motor and a custom low-ratio transmission (24:1) to provide mechanical transparency to the user, allowing them to actively contribute to their joint kinematics during gait training. The 4.88 kg orthosis utilizes frameless components and light materials, such as aluminum alloy and carbon fiber, to reduce its mass. A human subject experiment demonstrates accurate torque control with high output torque during stance and low backdrive torque during swing at fast walking speeds. This work shows that backdrivability, precise torque control, high torque output, and light weight can be achieved in a powered orthosis without the high cost and complexity of variable transmissions, clutches, and/or series elastic components.",2017,,504,510,Engineering; Torque; Actuator; Torque motor; Gait training; Backdrive; Clutch; Kinematics; Simulation; Swing,,,,NICHD NIH HHS (DP2 HD080349) United States,https://www.ncbi.nlm.nih.gov/pubmed/29057142 https://dblp.uni-trier.de/db/conf/icra/icra2017.html#ZhuDSLEG17 http://europepmc.org/articles/PMC5648365,http://dx.doi.org/10.1109/icra.2017.7989063,29057142,10.1109/icra.2017.7989063,2737768136,PMC5648365,0,001-349-141-647-448; 001-831-403-882-161; 004-319-749-769-939; 007-349-010-196-518; 011-853-945-066-951; 016-783-934-509-121; 019-231-352-877-737; 019-522-356-407-951; 019-868-663-706-546; 021-887-862-367-394; 023-360-950-534-182; 023-675-602-629-405; 024-407-694-316-021; 028-672-591-316-996; 029-638-502-955-444; 032-322-496-542-252; 038-721-557-967-796; 047-168-224-034-790; 050-593-176-320-148; 051-052-848-488-504; 059-605-523-796-718; 060-206-184-634-411; 066-278-879-962-199; 066-548-658-422-946; 067-014-593-817-276; 077-236-122-272-86X; 082-597-630-972-904; 088-494-184-668-203; 088-955-483-345-593; 092-730-949-784-967; 094-724-804-554-716; 097-297-095-863-430; 097-445-109-979-787; 110-220-919-398-476; 110-663-113-517-74X; 125-569-817-686-190; 147-183-737-230-077; 153-747-779-091-392,22
001-363-940-841-90X,A Low-Wear Onload Tap Changer Diverter Switch for Frequent Voltage Control on Distribution Networks,,2014,journal article,IEEE Transactions on Power Delivery,08858977; 19374208,Institute of Electrical and Electronics Engineers (IEEE),United States,Daniel J. Rogers; Tim C. Green; Richard W. Silversides,"This paper presents a fast mechanical diverter switch design suitable for new “arcless” hybrid onload tap-changing systems. In such systems, arcing at contact separation and contact closure is almost completely eliminated by the inclusion of alternate current paths incorporating semiconductor devices. This allows the use of compact, air-insulated mechanical contacts that do not need to withstand significant arc erosion or provide arc quenching. As a result, the moving mass and the drive system for the switch may be dramatically reduced in size, leading to low inertia of the moving parts and resulting in very rapid operation times. An integrated, high-torque, low-mass permanent-magnet actuator is presented that provides detent (unpowered) contact force coupled with a cantilever spring contact system sized for an 11-kV 2-MVA onload tap changer. The design delivers operation times of under 20 ms and is capable of sustaining more than 106 operations. The complete design is experimentally verified under representative electrical conditions, and contact wear levels comparable to pure mechanical (zero current) operation are demonstrated.",29,2,860,869,Detent; Electric arc; Electrical engineering; Tap changer; Engineering; Electrical contacts; Cantilever; Magnet; Automotive engineering; Actuator; Contact force,,,,UK EPSRC Doctoral Training Award,http://orca.cf.ac.uk/50459/ http://spiral.imperial.ac.uk/bitstream/10044/1/17953/5/Low%20Wear%20Tap-Changer%20-%20June%202013.pdf https://ieeexplore.ieee.org/document/6573413/ http://spiral.imperial.ac.uk/handle/10044/1/17953 https://core.ac.uk/download/pdf/76992461.pdf,http://dx.doi.org/10.1109/tpwrd.2013.2272335,,10.1109/tpwrd.2013.2272335,2034627150,,0,003-479-848-248-617; 013-546-449-256-820; 048-947-770-285-027; 057-096-821-712-708; 066-893-685-128-520; 071-651-180-089-158; 080-438-498-742-931; 082-387-798-201-69X; 139-197-806-147-742; 157-141-901-789-436; 166-816-531-710-67X; 187-346-735-716-211; 197-537-624-894-706,9
001-437-195-663-312,Power-Optimal Steering of a Space Robotic System Driven by Control-Moment Gyroscopes,2008-08-18,2008,conference proceedings article,"AIAA Guidance, Navigation and Control Conference and Exhibit",,American Institute of Aeronautics and Astronautics,,Michele D. Carpenter,"Control-moment gyroscopes (CMGs) are power-e‐cient attitude-control actuators that produce high torques on spacecraft. In this study, a method is investigated for maneuvering robotic arm segments in a spacecraft-mounted, CMG-actuated agile imaging payload with minimal power usage. A real-time optimization method is presented that includes null motion in a closed-loop end-efiector tracking problem. The proposed approach involves flrst establishing kinematic relationships between the end-efiector attitude coordinates and joint coordinates. These transformations are used to track a two-coordinate end-efiector attitude command by simultaneously controlling three joint degrees of freedom. With the redundant degree of freedom, there are multiple joint-angle solutions corresponding to a given boresight attitude command. While tracking this command, null motion is added to the commanded joint angles. The augmented joint-angle command causes a change in the body and gimbal motion that ultimately reduces power consumption. The null-angle component is determined by computing the null projection of the cost gradient with respect to the joint angles. A quadratic cost function is deflned, which is the sum of the squares of power for each CMG gimbal. Simulation results demonstrate that the power consumption of the system, when measured by the integral of non-recoverable power, is reduced by up to 42% when a certain amount of null motion is included in the feedback loop.",,,,,Gimbal; Engineering; Control engineering; Torque; Robotic arm; Gyroscope; Actuator; Spacecraft; Kinematics; Control theory; Degrees of freedom (statistics),,,,,https://arc.aiaa.org/doi/pdf/10.2514/6.2008-7270 http://spacecraftresearch.com/files/CarpenterPeck_GNC2008.pdf,http://dx.doi.org/10.2514/6.2008-7270,,10.2514/6.2008-7270,2323192693,,0,022-367-574-721-165; 045-986-138-265-068; 053-235-348-397-731; 053-878-954-863-113; 060-628-246-722-864; 064-947-252-001-127; 084-232-385-780-650; 085-631-565-887-724; 113-260-008-307-495; 118-123-790-969-245; 123-998-241-901-072; 138-099-666-136-447; 180-836-225-200-888; 185-950-112-232-155,12
001-563-897-158-596,Hardware in the loop of position tracking control of hydraulic servo mechanism,,2017,conference proceedings,2017 13th International Computer Engineering Conference (ICENCO),,IEEE,,Mohamed El-Sayed M. Essa; Magdy A.S. Aboelela; M. A. Moustafa Hassan; S. M. Abdrabbo,"This paper presents the hardware in the loop of control the position of electro hydraulic servo system based on Data Acquisition Card (NI-6014) and hybrid Model Predictive Controller (MPC). The realization of hybrid MPC depends on using Data Card and Matlab/ Simulink as the core of the control system. In addition, this paper discusses the using of Cuckoo Search Algorithm (CSA) for optimal tuning of the traditional controller parameters as a part of hybrid MPC controller. The experimental implementation of the studied system has been investigated using REXROTH components. The Electro Hydraulic Servo System mechanism (EHSS) plays an important role in industrial applications, especially in flight simulators, aircraft landing gear system, material testing machine and hydraulic press machines. The key reason of applying hydraulic systems on these applications is that it can give a high torque and high force. The theoretical and experimental results demonstrate that the values of performance criteria (settling, rise times and system overshoots) are the minimum in case of realization hybrid MPC position control over using traditional and MPC controllers. It also introduced that the integral time absolute error for various types of test signals (Multistep, sinusoidal and square signals) are a minimum values in case of using the proposed strategy in compared with the traditional and MPC controllers. In addition, hybrid MPC achieved the required physical limits of the actuator. As a general conclusion, one can conclude that the hybrid model predictive control has the priority of applying it in the field of electro hydraulic servo system due to the mentioned advantages.",,,,,Servomotor; Hydraulic machinery; Model predictive control; Actuator; Control system; Hydraulic press; Computer science; Servomechanism; Control theory; Control theory,,,,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=8289781 http://xplorestaging.ieee.org/ielx7/8279568/8289748/08289781.pdf?arnumber=8289781,http://dx.doi.org/10.1109/icenco.2017.8289781,,10.1109/icenco.2017.8289781,2785571333,,0,007-634-267-873-257; 021-404-416-235-640; 035-400-326-721-055; 036-966-514-582-645; 038-175-817-308-08X; 040-118-580-584-57X; 041-242-705-641-721; 058-807-522-517-747; 073-849-414-477-919; 079-472-288-690-399; 080-718-768-084-841; 107-381-811-534-13X; 109-442-861-925-971; 121-483-955-230-981; 124-724-491-020-815,1
002-427-346-458-787,Statically balanced direct drive manipulator,1989-04-01,1989,journal article,Robotica,02635747; 14698668,Cambridge University Press,United Kingdom,Homayoon Kazerooni,"SUMMARY A practical architecture, using a four-bar-linkage, is considered for the University of Minnesota direct drive rotot1. This statically-balanced direct drive robot has been constructed for stability analysis of the robot in constrained maneuvers.2-6 As a result of the elimination of the gravity forces (without any counter weights), smaller actuators and consequently smaller amplifiers were chosen. The motors yield acceleration of 5 g at the robot end point without overheating. High torque, low speed, brush-less AC synchronous motors are used to power the robot. Graphite-epoxy composite material is used for the construction of the robot links. A 4-node parallel processor has been used to control the robot. The dynamic tracking accuracy-with the feedforward torque method as a control law- has been derived experimentally. KEYWORDS: Direct drive; Robot; Statically balanced; Tracking accuracy; Linkage. the arm is only under its static load. 4. Structural Stiffness. The structural stiffness of the direct drive arms is greater than the non-direct drive systems. About 80% of the total mechanical compliance in most non-direct drive industrial robots is caused by transmission systems9.IO. The high structural stiffness allows for wide bandwidth control. The low structural stiffness of non-direct drive arm$, due to the existence of IIlany mechanical elements in the transmission system, is a limiting factor on achievement of a relatively wide bandwidth control system. 5. Backlash and Friction. The direct drive arms are free from mechanical backlash and friction due to elimination of transmission systems. A small mechanical backlash in the transmission system would cause the gear teeth to wear faster. The high rate of wear in the gear would develop an even larger backlash. About 25% of the torque in non direct drive arms is used to overcome the friction. II 6. Performance and Control. Because of elimination of the transmission systems, and consequently backlash, the control and performance analysis of direct drive arms is more straightforward than the non-direct drive arms (not necessarily ""easier""). 7. Accuracy. The accuracy of direct drive arms is questionable. The lack of the transmission system eliminates cogging, backlash, and its corresponding limit",7,02,143,149,Transmission system; Engineering; Torque; Artificial intelligence; Backlash; Robotics; Feed forward; Kinematics; Control theory; Synchronous motor; Robot,,,,,http://www.journals.cambridge.org/abstract_S0263574700005452 https://www.cambridge.org/core/journals/robotica/article/statically-balanced-direct-drive-manipulator/DE1FD638759F36373DFE332CBF7226DE https://dblp.uni-trier.de/db/journals/robotica/robotica7.html#Kazerooni89 https://doi.org/10.1017/S0263574700005452 http://bleex.me.berkeley.edu/wp-content/uploads/hel-media/Publication/Statically%20Balance%20DD%20Manipulator11.pdf,https://www.cambridge.org/core/journals/robotica/article/statically-balanced-direct-drive-manipulator/DE1FD638759F36373DFE332CBF7226DE,,,2132707830,,0,001-099-651-872-371; 003-682-282-925-773; 012-525-106-951-398; 022-034-124-514-067; 023-319-434-631-563; 029-512-209-021-323; 030-538-071-023-684; 035-653-842-640-628; 036-636-988-611-717; 056-097-732-393-619; 061-317-710-089-344; 062-910-316-416-195; 064-008-352-948-195; 068-906-769-674-871; 077-065-853-871-07X; 106-700-442-905-968; 119-453-550-731-367; 186-900-228-919-267; 192-987-902-466-24X; 199-869-538-209-067,25
002-466-249-916-493,ECMS - Modeling And Simulation Of A Permanent Magnet Synchronous Motor For Brake-By-Wire Technology In Automotive Applications.,2011-06-07,2011,book,"ECMS 2011 Proceedings edited by: T. Burczynski, J. Kolodziej, A. Byrski, M. Carvalho",,ECMS,,Raluca Trifa; Claudia Martis; K.A. Biro; Felicia Surdu,"The present paper approaches a three-phase Permanent Magnet Synchronous Motor (PMSM) analytical design, modeling and simulation for an electromechanical brake system in automotive applications. Analytical design of the electrical machine is validated by static simulation using JMAG-Studio, (a Finite element method based software). The Magnetic Equivalent Circuit (MEC) method is an accurate yet simple method for predicting the flux density distribution for iterative design procedures. The MEC technique gives fast (minutes) and acceptably accurate results. It provides a trade off between conventional, empirical methods, having fast simulation times, limited accuracy and flexibility, and the Finite Element Method (FEM), which requires long simulation times (hours), but offers high accuracy and flexibility. INTRODUCTION Electromechanical Brake (EMB) Electric actuation is one of the actual trends in the automotive industry, due to its high reliability, energy efficiency and controllability. The need for faster brake responding, better fuel economy, simplified system assembly, easy maintenance, more environmentally friendly and improved safety design has resulted in new Electro-Mechanical Braking System (EMB). EMB system has already begun replacing the hydraulic one. This not only reduces the weight of vehicles, but also has the potential for a large number of new features. In the EMB case (Fig.1), the idea presented is to replace completely the hydraulic system in order to transmit the commands through the wire. For that, the braking force is generated directly at each wheel by high-performance electric motors controlled by an Electronic Control Unit (ECU), and executed by signals from an electronic pedal module, which includes 4 intelligent braking actuators [10]. Electrical motor proposed for EMB actuation As a major issue in automotives is represented by the need for improved fuel efficiency and much more flexibility concerning latest technologies used in X-ByWire’s, the current 14 V bus has become insufficient. Therefore, car manufactures has come to the conclusion that the solution is to increase the voltage and implement a new 42 V bus in the system. Some aspects have to be considered during the design of the brake by wire drive systems: reliability, performance, thermal and acoustic behavior, energy efficiency and cost. Figure 1: System layout of an electromechanical brake These applications require high performance motors with high torque/volume ratio, low inertia, high dynamic, low torque pulsations and low radial forces. In this paper a surface-mounted PMSM has been considered as a driving motor for brake-by-wire application because it offers the advantage of low rotor inertia (provide high torque at lower rotational speed), high efficiency, convenient heat dissipation structure and reduction of the motor size [2], [4], [9]. DESIGN OF THE PROPOSED PMSM Analytical Design The analytical design of a PMSM is a complex process, which includes literature studying for adopting optimal design methods for different targets as obtaining a lighter prototype, a minimum cogging torque variation, a higher torque and low losses. Proceedings 25th European Conference on Modelling and Simulation ©ECMS Tadeusz Burczynski, Joanna Kolodziej Aleksander Byrski, Marco Carvalho (Editors) ISBN: 978-0-9564944-2-9 / ISBN: 978-0-9564944-3-6 (CD) A basic configuration of an EMB system was analyzed in order to establish the specification data and the demanded torque-speed curve for the PMSM. These requirements are given in Table 1 and Fig.2 presents the torque-speed characteristic of an electrical motor for EMB [6]. Table 1: General requirements for a PMSM used in EMB application in Automotives Parameter Units Value Peak stall torque Nm 3.0 Base speed 1/min 1000 Maximal speed 1/min 3000 DC-bus voltage V 42 Duty cycle S3-5% Environment temperature C degree 40...125 Figure 2: Torque vs. speed curve of an electrical machine for EMB In addition to these requirements, several constraints must be met. These constraints address limited size, lower weight, low torque ripple content, fault tolerance. A three-phase, four-pole surface mounted PMSM was chosen with the topology presented in Figure 3. The design starts with the set of initial data that includes the input parameters presented in Table 2, the material data of the magnet, iron and conductors. The main dimensions of the stator lamination and rotor core were computed via an analytical design procedure, following the input data [1], [5], [8]. First step in sizing the motor implies the estimation of the stator inner diameter using:",,,188,194,Torque; Automotive engineering; Rotor (electric); Stall torque; Electric motor; Cogging torque; Brake-by-wire; Torque ripple; Brake; Computer science,,,,,http://www.scs-europe.net/dlib/2011/2011-0188.htm http://scs-europe.net/conf/ecms2011/ecms2011%20accepted%20papers/eee_ECMS_0072.pdf https://dblp.uni-trier.de/db/conf/ecms/ecms2011.html#TrifaMBS11,http://dx.doi.org/10.7148/2011-0188-0194,,10.7148/2011-0188-0194,2003927659,,0,005-965-697-293-66X; 018-577-491-586-704; 059-636-094-342-743; 078-075-371-396-208; 081-860-536-579-312; 091-240-115-322-370; 109-615-717-979-695,0
002-766-445-540-467,The Hybrid Motor Prototype: Design Details and Demonstration Results,,1998,,,,,,R. Venkataraman; W.P. Dayawansa; Perinkulam S. Krishnaprasad,"Abstract : A novel hybrid rotary motor incorporating piezoelectric and magnetostrictive actuators has been designed and demonstrated. The novelty of this motor was the creation of an electrical resonant circuit, whereby reactive power requirement on the power source is reduced. It was envisaged that the motor would be suitable for low output speed, high torque applications because of its design. This report presents the constructional details of this motor and the results of the demonstration.",,,,,AC power; Engineering; Control engineering; Torque; Actuator; Electric motor; Hybrid system; Rotary engine; Smart material; RLC circuit,,,,,https://drum.lib.umd.edu/handle/1903/5996,https://drum.lib.umd.edu/handle/1903/5996,,,82514761,,0,,3
